prompt,refs_0,refs_1,refs_2
Poet can typically be used for creating poetry. What makes this possible? ,Poet is feeling creative.,The poet is writing.,The poet is inspired.
Townhouse are typically used to live in. What makes this impossible? ,The house is owned but not occupied.,You live in an apartment.,The townhouse is condemned.
Fencing are typically used in developing discipline. What makes this impossible? ,You fence violently.,You skip practice.,
Card case are typically used for displaying cards. What makes this impossible? ,The card case is empty.,The cards have been stolen.,The cards have been stolen.
Keeping things orderly and tidy are typically used for clear thinking. What makes this possible? ,Undestand the full matter.,You clean living area frequently.,The room is clean.
Attending classical concert are typically used when listening carefully. What makes this impossible? ,There is no classical concert.,The speakers are not working.,You are deaf.
Driving can typically be used when traveling long distances. What makes this possible? ,You have a car.,You have a car.,You have a functioning car.
Writing brush can typically be used for caligraphy. What makes this impossible? ,The brush is dry.,You have to type information in the computer.,You run out of ink.
Bridge arch can typically be used to support. What makes this impossible? ,Bridge is in old age.,The arch has a crack in it.,The bridge is not suspended.
You can typically use doll for teaching medical personnel. What makes this possible? ,You are learning cpr.,The doll is medically accurate.,I became a medical professor.
Entryway can typically be used when entering room. What makes this possible? ,You want to enter a house.,The entry way is near a room.,The room has an entryway.
Thoroughfare can typically be used to move around. What makes this impossible? ,You are sitting down.,,
Buying beer are typically used for getting buzz. What makes this possible? ,You drink the beer.,You are over twenty one.,He buys beer when he is old enough.
Going to play are typically used for catching up on latest theatre. What makes this impossible? ,You stay home.,The play is old.,You have already seen this play.
Getting good grade are typically used for getting into university. What makes this impossible? ,You get rejected.,You forget to study.,The university you apply to is very competitive and requires extra curricular activities.
Percussion instrument are typically used to keep beat. What makes this possible? ,You are playing music.,There is a fixed tempo.,You have a drumstick.
Classroom is typically used for listening. What makes this possible? ,You are a student.,Students are in the classroom.,The students are able to hear.
Thoroughfare can typically be used to move around. What makes this possible? ,You are outside.,,
Cleaning house are typically used for keeping house free of dirt. What makes this impossible? ,The house is already free of dirt.,The house keeper is locked out.,Home is dirty.
Surfing web can typically be used for knowledge. What makes this impossible? ,Wehn powercut.,Your internet is disconnected.,You are illiterate.
Mouth is typically used for drinking. What makes this possible? ,Liquid is in the mouth.,You are thirsty.,You drink a liquid.
Machine are typically used for vend change. What makes this impossible? ,You only have card.,The machine is out of change.,The machine has nothing to seel.
Pouch can typically be used for holding diplomatic dispatches. What makes this impossible? ,The pouch has a hole in the bottom and the dispatches fall out.,You have a briefcase.,The pouch is too small.
Acoustic guitar are typically used for making folk music. What makes this impossible? ,You take piano lessons.,You play guitar solely for fun.,You want dance.
Computer is typically used for collecting and analyzing information. What makes this impossible? ,The computer is turned off.,Your computer is off.,The power has gone out.
Riding bicycle can typically be used for getting places. What makes this impossible? ,The bike has a flat tire.,You live in a city without bike paths.,You are riding a car.
Bowl are typically used to hold hot cereal. What makes this impossible? ,The bowl is tipped over.,Bowl has a hole at bottom.,The bowl has a crack.
Math book can typically be used for learning math. What makes this possible? ,You know how to read.,The math book was edited properly.,You can read.
Going for run are typically used for workout. What makes this possible? ,There is enough time for a workout.,You are outdoors.,You are wearing running shoes.
Lighting fire are typically used for lighting dark place. What makes this possible? ,You have a fire starter.,You are camping and need and lighting a fire.,You have a match.
Knight can typically be used to kill dragon. What makes this impossible? ,The dragon burns down the village before it can be killed.,The knight is unarmed.,The dragon kills the knight.
Grocer can typically be used as being in commerce. What makes this possible? ,You need to buy groceries.,The grocer is currently employed by the grocery store.,
Verb are typically used for demonstration action. What makes this possible? ,You are speaking a language.,You use the right verb.,
Taking shower are typically used for being clean and fresh. What makes this possible? ,You have enough soap.,We have a water.,You are dirty.
Bell can typically be used for calling children into class. What makes this impossible? ,You are at home.,The bell tells the children the school day is over.,If the children are too far to hear the bell.
Expressing information can typically be used in teaching another. What makes this possible? ,You are talking to someone.,You communicate with others.,The information is instructive.
Advancing into battle are typically used to prepare for war. What makes this impossible? ,You are defending.,You are defeated.,The weather is too harsh.
Heater can typically be used to warm proximate space. What makes this impossible? ,We are in hot climatic condition.,The heater is malfunctioning.,The heater is unplugged.
Interior area can typically be used for gathering. What makes this possible? ,You are cleaning the house.,People are in the interior area.,You invite friends over.
Tickling are typically used for being silly. What makes this possible? ,You are tickling your kid and having fun.,You are with another person.,You have hands.
Hands can typically be used to pick things up. What makes this impossible? ,You are carrying too many things.,Your hand has pain.,Things are too heavy to move.
Proposing to woman are typically used in aksing for marriage. What makes this possible? ,You have a ring.,Both partners are ready for marriage.,
Glass of milk can typically be used to build strong bones. What makes this impossible? ,The milk is bad.,You are lactose intolerant.,You leave out the glass of milk.
Computer can typically be used for writing. What makes this possible? ,You use the keyboard.,Your computer is on.,The keyboard is working.
Painting picture are typically used for adding visual detail. What makes this possible? ,You are completing an art class assignment.,You have paint.,
Musical instrument can typically be used for interpreting piece of music. What makes this impossible? ,You are playing music for fun.,The musical instrument is broken.,You forget to practice.
Dining room can typically be used for eating in. What makes this possible? ,Your dining table is in the dining room.,There is food in the dining room.,You eat at home.
Heater can typically be used to warm proximate space. What makes this possible? ,We are in cold climatic place.,You have a functioning heater.,The heater has electricity.
Beanbag chair are typically used for sitting down. What makes this impossible? ,You are outside.,The beanbag chair is unstuffed.,The beanbag chair is being used.
Telling many people about are typically used for spreading good news. What makes this possible? ,You are in a large group.,You are able to communicate in person.,
Having food are typically used for taking in nutrients. What makes this possible? ,You can eat.,You are eating the food.,The food contains nutrients.
Going to play are typically used for seeing friends perform. What makes this possible? ,Your friends are actors in the play.,Your friends are actors.,The show is on.
Main traffic artery can typically be used for routing heavy traffic. What makes this possible? ,You are in returning home in rush hour.,The artery is not clogged with traffic.,Traffic is paying attention to routes.
Buying beer are typically used for getting buzz. What makes this impossible? ,You pour the beer down the drain.,You are a teenager.,He is underage.
Mailbox are typically used for letters. What makes this possible? ,You have received a piece of mail.,The mailbox is large enough to fit letters inside.,You are waiting for a letter.
Being involved in accident are typically used for people negligent. What makes this possible? ,You are a bad driver.,You are driving fact.,You are drunk.
Tissue holder can typically be used to hold tissue. What makes this possible? ,You have tissues left.,The tissue box fits in the holder.,The tissue holder has room inside.
Woodwind can typically be used for playing in band. What makes this possible? ,You have the money to purchase a woodwind instrument.,You are in a band.,You know how to play.
Writer can typically be used for writing advertisment. What makes this possible? ,You have an advertising job.,A writer works at a newspaper.,A company has hired the writer to promote their product.
Preparing for vote are typically used by political committee. What makes this impossible? ,Ballots are lost.,Elections are closed.,The committee has been disbanded.
Door with lock are typically used to keep inside and others outside. What makes this impossible? ,The door lock is broken.,The lock is no longer functioning.,You are already outside.
