context,question,label
Sometimes do exercise.,A person typically desire healthy life.,1
Who eats junk foods.,A person typically desire healthy life.,0
A person is sick.,A person typically desire healthy life.,1
A person is dead.,A person typically desire healthy life.,0
A person eats properly and do exercise regularly.,A person typically desire healthy life.,1
A person eats junk food and dont do exercise regularly.,A person typically desire healthy life.,0
You call someone nearby.,Making phone call are typically used for racking up long distance charges.,0
You call locally.,Making phone call are typically used for racking up long distance charges.,0
The phone is a cell phone.,Making phone call are typically used for racking up long distance charges.,0
You call someone long distance.,Making phone call are typically used for racking up long distance charges.,1
You are charged for making a phone call.,Making phone call are typically used for racking up long distance charges.,1
The phone is a landline.,Making phone call are typically used for racking up long distance charges.,1
The ground is covered.,Rain typically causes rain making ground wet.,0
The ground is outside.,Rain typically causes rain making ground wet.,1
A person likes to read bedtime story.,People typically does desire to read books in bed.,1
A book is unavailable.,People typically does desire to read books in bed.,0
The person is awake enough to read.,People typically does desire to read books in bed.,1
The person has bad eyesight.,People typically does desire to read books in bed.,0
The person hating another.,Loving another typically cause happiness.,0
There is good character.,Loving another typically cause happiness.,1
The another loves someone else.,Loving another typically cause happiness.,0
The other loves you back.,Loving another typically cause happiness.,1
Without the piano.,Playing piano typically cause gaining skill.,0
Interested in reading.,Playing piano typically cause gaining skill.,1
Given unwanted message.,Posting message typically cause people to read message.,0
Getting useful message.,Posting message typically cause people to read message.,1
You run out of groceries.,Cooking meal are typically used for showing love.,0
You work as a cook at a fast food restaurant.,Cooking meal are typically used for showing love.,0
He cooks poorly.,Cooking meal are typically used for showing love.,0
You know how to cook.,Cooking meal are typically used for showing love.,1
You are cooking for your spouse.,Cooking meal are typically used for showing love.,1
He cooks a celebration dinner.,Cooking meal are typically used for showing love.,1
The mistake is on a colored sheet of paper.,Correction fluid are typically used for covering up mistakes.,0
The correction fluid is inside the bottle.,Correction fluid are typically used for covering up mistakes.,0
You have made a mistake while typing.,Correction fluid are typically used for covering up mistakes.,0
The mistake is on a white piece of paper.,Correction fluid are typically used for covering up mistakes.,1
The correction fluid is applied to paper.,Correction fluid are typically used for covering up mistakes.,1
You have made a mistake while writing.,Correction fluid are typically used for covering up mistakes.,1
A bottle of shampoo spilled into the case.,Vanity case can typically be used to store things.,0
The vanity case is full.,Vanity case can typically be used to store things.,0
The vanity case is locked.,Vanity case can typically be used to store things.,0
You store your toiletries for a trip.,Vanity case can typically be used to store things.,1
The vanity case is empty.,Vanity case can typically be used to store things.,1
The vanity case is unlocked.,Vanity case can typically be used to store things.,1
The poem has errors.,Writing poem typically cause get published.,0
It is a good poem.,Writing poem typically cause get published.,1
Writing a poem without having any message and hard to understand.,Writing poem typically cause get published.,0
Writing a poem to convey some social message by using simple and short words.,Writing poem typically cause get published.,1
The person is a hard worker.,A person typically do desire for good credit.,1
The person is selfish.,A person typically do desire for good credit.,0
A person need money.,A person typically do desire for good credit.,1
If a person is rich.,A person typically do desire for good credit.,0
The person pays their credit card bill on time.,A person typically do desire for good credit.,1
The person has a lot of credit card debt.,A person typically do desire for good credit.,0
The knife is dull.,Knife are typically used for peeling.,0
The knife is too dull.,Knife are typically used for peeling.,0
Your knife is dull.,Knife are typically used for peeling.,0
The knife is sharp.,Knife are typically used for peeling.,1
"You are peeling something with a skin, like a potato.",Knife are typically used for peeling.,1
Your diaphragm is broken.,Diaphragm are typically used for healthy breathing.,0
You have a health condition.,Diaphragm are typically used for healthy breathing.,0
Your diaphragm works properly.,Diaphragm are typically used for healthy breathing.,1
You are healthy.,Diaphragm are typically used for healthy breathing.,1
You are healthy person.,Diaphragm are typically used for healthy breathing.,1
The metal is corroded.,Metal can typically be used for casting.,0
Casting ware is off.,Metal can typically be used for casting.,0
The metal is solid.,Metal can typically be used for casting.,0
You are a blacksmith.,Metal can typically be used for casting.,1
You are a metal worker.,Metal can typically be used for casting.,1
The metal is molten.,Metal can typically be used for casting.,1
A person wants to find their missing painting.,A person typically desires find missing painting.,1
A person does not care about their painting being missing.,A person typically desires find missing painting.,0
A person is good coder.,A person typically desires prompt responses from computers.,1
A person is empty headed to handle the computer.,A person typically desires prompt responses from computers.,0
Handle with care.,A person typically desires prompt responses from computers.,1
Popper command not given.,A person typically desires prompt responses from computers.,0
A computer gives good results.,A person typically desires prompt responses from computers.,1
A person like pleasant thought.,A person typically desires pleasant memories.,1
A person tries to do something great to the loved one.,A person typically desires pleasant memories.,1
A person tries to do nothing.,A person typically desires pleasant memories.,0
